±â°£,SMP
,À°Áö
Aug-22,196.02
Jul-22,150.6
Jun-22,128.84
May-22,139.06
Apr-22,201.58
Mar-22,192.34
Feb-22,196.93
Jan-22,153.82
Dec-21,142.46
Nov-21,126.83
Oct-21,107.53
Sep-21,98.21
Aug-21,93.41
Jul-21,87.04
Jun-21,82.72
May-21,78.93
Apr-21,75.97
Mar-21,83.78
Feb-21,75.25
Jan-21,70.47
Dec-20,66.98
Nov-20,49.65
Oct-20,50.23
Sep-20,55.43
Aug-20,62.33
Jul-20,70.96
Jun-20,70.58
May-20,70.45
Apr-20,74.78
Mar-20,83.05
Feb-20,81.6
Jan-20,84.26
Dec-19,83.72
Nov-19,81.13
Oct-19,87.47
Sep-19,78.73
Aug-19,83.93
Jul-19,78.9
Jun-19,77.67
May-19,78.99
Apr-19,98.93
Mar-19,112.1
Feb-19,105.5
Jan-19,110.78
Dec-18,109.34
Nov-18,104.59
Oct-18,101.82
Sep-18,92.14
Aug-18,90.28
Jul-18,86.58
Jun-18,89.29
May-18,87.22
Apr-18,90.54
Mar-18,101.15
Feb-18,90.3
Jan-18,91.8
Dec-17,90.41
Nov-17,81.15
Oct-17,72.41
Sep-17,72.82
Aug-17,75.91
Jul-17,76.3
Jun-17,82.33
May-17,78.76
Apr-17,74.88
Mar-17,91.67
Feb-17,90.76
Jan-17,86.1
Dec-16,86.76
Nov-16,74.83
Oct-16,73.27
Sep-16,71.3
Aug-16,71.43
Jul-16,66.79
Jun-16,65.15
May-16,68.72
Apr-16,75.37
Mar-16,87.34
Feb-16,87.62
Jan-16,90.7
Dec-15,95.41
Nov-15,94.89
Oct-15,98.29
Sep-15,90.73
Aug-15,88.15
Jul-15,81.53
Jun-15,84.13
May-15,96.31
Apr-15,103.45
Mar-15,118.35
Feb-15,121.16
Jan-15,140.54
Dec-14,143.86
Nov-14,133.27
Oct-14,131.67
Sep-14,130.92
Aug-14,128
Jul-14,142.26
Jun-14,135.85
May-14,144.14
Apr-14,150.54
Mar-14,162.99
Feb-14,153.16
Jan-14,142.61
Dec-13,149.42
Nov-13,144.52
Oct-13,155.37
Sep-13,136.22
Aug-13,153.44
Jul-13,154.75
Jun-13,157.67
May-13,150.48
Apr-13,162.85
Mar-13,151.61
Feb-13,150.24
Jan-13,151.59
Dec-12,164.94
Nov-12,138.1
Oct-12,149.57
Sep-12,133.21
Aug-12,160.35
Jul-12,184.64
Jun-12,177.55
May-12,170.58
Apr-12,157.43
Mar-12,176.86
Feb-12,159.16
Jan-12,147.01
Dec-11,145.87
Nov-11,139.94
Oct-11,122.94
Sep-11,132.75
Aug-11,116.09
Jul-11,118.56
Jun-11,118.91
May-11,117.02
Apr-11,116.95
Mar-11,123.25
Feb-11,123.02
Jan-11,131.95
Dec-10,131.17
Nov-10,105.36
Oct-10,111.64
Sep-10,116.04
Aug-10,119.51
Jul-10,114.11
Jun-10,114.45
May-10,115.33
Apr-10,115.15
Mar-10,120.55
Feb-10,120.21
Jan-10,122.28
Dec-09,0
Nov-09,0
Oct-09,0
Sep-09,0
Aug-09,0
Jul-09,0
Jun-09,0
May-09,0
Apr-09,0
Mar-09,0
Feb-09,0
Jan-09,0
Dec-08,0
Nov-08,0
Oct-08,0
Sep-08,0
Aug-08,0
Jul-08,0
Jun-08,0
May-08,0
Apr-08,0
Mar-08,0
Feb-08,0
Jan-08,0
Dec-07,0
Nov-07,0
Oct-07,0
Sep-07,0
Aug-07,0
Jul-07,0
Jun-07,0
May-07,0
Apr-07,0
Mar-07,0
Feb-07,0
Jan-07,0
Dec-06,0
Nov-06,0
Oct-06,0
Sep-06,0
Aug-06,0
Jul-06,0
Jun-06,0
May-06,0
Apr-06,0
Mar-06,0
Feb-06,0
Jan-06,0
Dec-05,0
Nov-05,0
Oct-05,0
Sep-05,0
Aug-05,0
Jul-05,0
Jun-05,0
May-05,0
Apr-05,0
Mar-05,0
Feb-05,0
Jan-05,0
Dec-04,0
Nov-04,0
Oct-04,0
Sep-04,0
Aug-04,0
Jul-04,0
Jun-04,0
May-04,0
Apr-04,0
Mar-04,0
Feb-04,0
Jan-04,0
Dec-03,0
Nov-03,0
Oct-03,0
Sep-03,0
Aug-03,0
Jul-03,0
Jun-03,0
May-03,0
Apr-03,0
Mar-03,0
Feb-03,0
Jan-03,0
Dec-02,0
Nov-02,0
Oct-02,0
Sep-02,0
Aug-02,0
Jul-02,0
Jun-02,0
May-02,0
Apr-02,0
Mar-02,0
Feb-02,0
Jan-02,0
Dec-01,0
Nov-01,0
Oct-01,0
Sep-01,0
Aug-01,0
Jul-01,0
Jun-01,0
May-01,0
Apr-01,0
