기간,지역,원자력,유연탄,무연탄,유류,LNG
,,,,,,
22-Aug,합계,60.89975127,189.7558566,214.2727383,611.5256006,274.2694919
22-Jul,합계,51.96106703,150.7732103,165.1972165,445.7590766,198.0721567
22-Jun,합계,38.45393599,126.765229,133.3700226,366.6681882,155.6754529
22-May,합계,39.373545,128.8298592,141.1443383,307.5227262,161.9373965
22-Apr,합계,53.33556265,162.0796611,210.7611288,293.0161704,229.6100071
22-Mar,합계,59.28093311,149.6763468,17235.66765,276.3767473,218.4281438
22-Feb,합계,67.89325523,154.9560524,0,271.5462965,247.0874365
22-Jan,합계,61.51077446,135.4886062,0,215.5210223,206.2079812
21-Dec,합계,50.52155116,125.7593982,0,302.343113,193.8204783
21-Nov,합계,41.29019969,116.6073847,139.1693192,239.6941298,155.2545521
21-Oct,합계,35.11724932,100.7406797,118.790395,203.1714543,126.2305476
21-Sep,합계,32.73956963,95.37666495,121.8313398,213.8882072,125.4217576
21-Aug,합계,40.96712466,100.1372577,110.9891136,532.4280646,141.9306363
21-Jul,합계,64.28444661,100.2828779,100.7949232,212.5034918,121.2158503
21-Jun,합계,69.58648274,93.09675985,93.86717054,183.6621809,101.2098455
21-May,합계,64.65028547,86.5453045,84.53181004,163.8147255,94.29089907
21-Apr,합계,62.56654164,82.02072955,82.32408661,189.9722234,88.54539008
21-Mar,합계,69.46125877,92.06978262,89.25582726,228.5765634,99.02850826
21-Feb,합계,71.78331426,92.95020972,96.93514245,209.1494625,106.8258821
21-Jan,합계,72.4734479,92.74480341,83.17220422,175.7196016,106.6805875
20-Dec,합계,72.90218268,85.20127263,80.86599494,149.4401533,99.02091832
20-Nov,합계,51.0150919,59.97971441,59.31836237,164.9227691,67.70302167
20-Oct,합계,49.90747073,57.7732282,101.5331203,179.2212672,63.45841671
20-Sep,합계,57.44038627,65.88382565,160.9933017,173.0474075,76.82323398
20-Aug,합계,69.72101125,79.91048146,84.91175221,299.9433394,103.4514104
20-Jul,합계,76.55064612,90.1279391,82.54074525,933.7842137,126.7794393
20-Jun,합계,61.47366731,81.45810722,71.40146754,354.6167761,102.1402336
20-May,합계,46.45436493,79.19503729,72.7924399,270.7431719,100.8052785
20-Apr,합계,48.92232611,82.79181478,79.01145895,171.3708162,96.12240536
20-Mar,합계,56.37741527,92.8258239,91.02004706,202.3982715,103.6298321
20-Feb,합계,60.74314064,96.64600494,93.31184943,275.3210457,114.603465
20-Jan,합계,65.1539579,101.3762096,97.97191123,187.5527944,121.6312241
19-Dec,합계,81.28033039,86.7753185,94.02063966,174.6963199,113.0782396
19-Nov,합계,64.31181087,79.88866096,86.28702736,241.3902575,99.58010201
19-Oct,합계,52.6415696,77.79960947,90.52714756,201.5610977,106.1736429
19-Sep,합계,50.66897563,76.51210859,83.98689336,332.7963493,102.5734267
19-Aug,합계,60.68451064,88.84008912,96.85905631,346.2132947,124.4624997
19-Jul,합계,57.34323416,86.16252735,92.07526414,393.7921084,120.3675086
19-Jun,합계,45.0403618,77.0444976,83.48737454,289.7703095,105.1140777
19-May,합계,43.4928264,73.66049781,84.71014155,226.9894037,94.12616841
19-Apr,합계,52.8253925,84.81556903,105.2190647,215.6477282,114.1680747
19-Mar,합계,61.98500745,94.4905607,124.4646231,168.4701338,135.9835467
19-Feb,합계,64.60272859,96.71286795,123.4412449,241.1360886,142.4087704
19-Jan,합계,71.51296183,104.7554584,131.982368,238.6598373,151.7888533
18-Dec,합계,71.86873338,78.87820986,126.7121043,251.1785713,144.1570133
18-Nov,합계,62.60193131,73.68133559,113.8034904,238.3162712,126.0342122
18-Oct,합계,58.21142931,70.70030338,107.2576369,174.5002324,117.0691418
18-Sep,합계,55.48334474,70.507718,103.4575184,272.7395162,124.4764708
18-Aug,합계,61.73313945,80.4145303,102.0509842,194.2982661,124.4453494
18-Jul,합계,63.11517154,87.36316096,97.60068272,202.6444129,122.302626
18-Jun,합계,60.04301175,83.60063754,96.25399243,199.7255161,111.0854673
18-May,합계,55.35784803,79.06008739,93.54768682,165.2733598,101.453019
18-Apr,합계,57.58065783,80.54125403,96.22307549,185.7235668,103.6589191
18-Mar,합계,67.52618931,92.18324856,108.9817625,151.8486268,124.3705721
18-Feb,합계,64.04876615,88.23401635,105.6900403,152.8342553,122.6195079
18-Jan,합계,68.10434226,91.88025867,110.4113075,142.5687225,126.0760511
17-Dec,합계,81.15629745,77.95783464,104.1383169,141.3177472,120.417015
17-Nov,합계,68.99004843,68.61094441,89.65545714,160.0109551,102.498451
17-Oct,합계,48.26462948,66.13798418,81.08652666,186.1446176,98.3971165
17-Sep,합계,52.29107606,71.08681296,84.88589136,211.5820342,108.8898656
17-Aug,합계,57.22600026,75.19273337,89.98391416,214.634986,112.5293966
17-Jul,합계,57.70714582,75.20649474,90.11320595,178.1938491,108.7645395
17-Jun,합계,59.36753472,83.95019676,93.79936799,196.3256322,108.0373812
17-May,합계,53.09978672,77.38179346,84.25130966,173.1844542,101.7240882
17-Apr,합계,51.35821394,74.02539641,80.54925293,168.845657,95.62229768
17-Mar,합계,65.93672016,91.00699191,109.2066044,233.3207901,120.7121919
17-Feb,합계,69.36297417,91.81196888,107.8863722,144.3316329,125.4562194
